400899376
Jazz,Trail Blazers
104,113
FG Made-Attempted,Field Goal %,3PT Made-Attempted,Three Point %,FT Made-Attempted,Free Throw %,Total Rebounds,Offensive Rebounds,Defensive Rebounds,Assists,Steals,Blocks,Total Turnovers,Points Off Turnovers,Fast Break Points,Points in Paint,Personal Fouls,Technical Fouls,Flagrant Fouls
40-82,48.8,8-24,33.3,16-16,100.0,39,6,25,19,9,5,14,20,8,50,19,0,0
39-75,52.0,13-19,68.4,22-22,100.0,39,5,29,22,5,3,13,8,4,34,18,2,0

400899407
Bucks,Jazz
88,104
FG Made-Attempted,Field Goal %,3PT Made-Attempted,Three Point %,FT Made-Attempted,Free Throw %,Total Rebounds,Offensive Rebounds,Defensive Rebounds,Assists,Steals,Blocks,Total Turnovers,Points Off Turnovers,Fast Break Points,Points in Paint,Personal Fouls,Technical Fouls,Flagrant Fouls
32-73,43.8,9-23,39.1,15-25,60.0,45,9,30,19,10,7,17,24,9,40,21,1,0
36-78,46.2,11-29,37.9,21-27,77.8,54,11,35,22,11,2,16,15,4,46,23,0,0

400899413
Jazz,Nets
101,89
FG Made-Attempted,Field Goal %,3PT Made-Attempted,Three Point %,FT Made-Attempted,Free Throw %,Total Rebounds,Offensive Rebounds,Defensive Rebounds,Assists,Steals,Blocks,Total Turnovers,Points Off Turnovers,Fast Break Points,Points in Paint,Personal Fouls,Technical Fouls,Flagrant Fouls
39-93,41.9,7-24,29.2,16-20,80.0,57,12,34,11,9,5,9,7,7,42,19,0,0
33-78,42.3,6-27,22.2,17-23,73.9,52,8,36,13,5,5,15,14,10,44,20,1,0

400899423
Jazz,Celtics
104,115
FG Made-Attempted,Field Goal %,3PT Made-Attempted,Three Point %,FT Made-Attempted,Free Throw %,Total Rebounds,Offensive Rebounds,Defensive Rebounds,Assists,Steals,Blocks,Total Turnovers,Points Off Turnovers,Fast Break Points,Points in Paint,Personal Fouls,Technical Fouls,Flagrant Fouls
38-82,46.3,11-26,42.3,17-21,81.0,43,8,27,27,7,3,11,10,3,34,17,0,0
41-74,55.4,17-31,54.8,16-17,94.1,39,4,28,31,5,6,14,13,14,40,22,2,0

400899434
Heat,Jazz
111,110
FG Made-Attempted,Field Goal %,3PT Made-Attempted,Three Point %,FT Made-Attempted,Free Throw %,Total Rebounds,Offensive Rebounds,Defensive Rebounds,Assists,Steals,Blocks,Total Turnovers,Points Off Turnovers,Fast Break Points,Points in Paint,Personal Fouls,Technical Fouls,Flagrant Fouls
44-86,51.2,8-19,42.1,15-19,78.9,46,13,27,16,7,2,6,11,10,64,15,0,0
40-73,54.8,17-30,56.7,13-17,76.5,37,5,26,24,5,8,11,20,11,30,14,1,0

400899442
Timberwolves,Jazz
107,80
FG Made-Attempted,Field Goal %,3PT Made-Attempted,Three Point %,FT Made-Attempted,Free Throw %,Total Rebounds,Offensive Rebounds,Defensive Rebounds,Assists,Steals,Blocks,Total Turnovers,Points Off Turnovers,Fast Break Points,Points in Paint,Personal Fouls,Technical Fouls,Flagrant Fouls
39-78,50.0,8-16,50.0,21-26,80.8,52,10,38,23,11,7,12,10,8,54,15,0,0
35-90,38.9,4-19,21.1,6-11,54.5,52,16,30,18,6,5,14,17,5,52,23,0,0

400899458
Lakers,Jazz
89,96
