400899393,Wizards,Raptors,105,96
STARTERS,position,xf,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,+/-,PTS
Markieff Morris,PF,1,33,6-14,1-3,0-0,2,6,8,5,0,0,0,2,+0,13
Otto Porter Jr.,SF,1,19,0-4,0-2,0-0,0,3,3,0,1,0,0,2,-1,0
Marcin Gortat,C,1,18,6-8,0-0,0-0,1,7,8,1,0,0,1,3,+2,12
John Wall,PG,1,34,4-12,0-2,4-4,1,3,4,13,0,1,3,1,+2,12
Bradley Beal,SG,1,32,9-17,1-6,4-4,0,1,1,3,2,1,1,2,-4,23
BENCH,position,xf,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,+/-,PTS
Daniel Ochefu,PF,0,2,0-0,0-0,0-0,0,0,0,0,0,0,0,1,-8,0
Chris McCullough,PF,0,2,0-0,0-0,1-2,0,0,0,0,0,0,0,0,-8,1
Jason Smith,PF,0,10,4-4,0-0,0-0,0,5,5,2,1,0,0,1,+16,8
Kelly Oubre Jr.,SF,0,24,2-7,1-4,2-2,0,3,3,2,0,1,4,3,+12,7
Bojan Bogdanovic,SF,0,25,9-12,6-7,3-3,0,2,2,0,0,0,2,2,+16,27
Ian Mahinmi,C,0,21,0-4,0-0,1-2,2,3,5,3,1,3,0,3,+11,1
Tomas Satoransky,SG,0,18,0-2,0-1,1-2,1,4,5,3,1,0,1,1,+13,1
Sheldon Mac,SG,0,2,0-0,0-0,0-0,0,0,0,0,0,0,0,0,-6,0
TEAM,,,,40-84,9-25,16-19,7,37,44,32,6,6,12,21,,105
 ,,,,47.6%,36.0%,84.2%
STARTERS,position,xf,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,+/-,PTS
Serge Ibaka,PF,1,36,8-17,4-6,2-2,4,9,13,0,1,2,4,3,+4,22
DeMarre Carroll,SF,1,30,0-3,0-0,0-0,2,2,4,1,2,0,1,1,-2,0
Jonas Valanciunas,C,1,21,3-12,0-0,1-1,7,4,11,1,0,0,1,2,-15,7
Cory Joseph,PG,1,28,5-11,1-4,0-0,0,4,4,1,0,1,0,0,+2,11
DeMar DeRozan,SG,1,34,7-20,0-0,10-11,0,3,3,2,1,0,2,3,-4,24
BENCH,position,xf,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,+/-,PTS
Patrick Patterson,PF,0,21,0-6,0-4,0-0,0,4,4,0,0,0,0,1,-11,0
Pascal Siakam,PF,0,2,0-0,0-0,0-0,0,1,1,1,1,0,0,0,+8,0
PJ Tucker,SF,0,21,2-3,0-1,0-0,2,3,5,1,1,1,1,1,-13,4
Norman Powell,SF,0,16,5-12,1-4,6-8,0,2,2,2,0,0,0,3,-6,17
Jakob Poeltl,C,0,7,1-1,0-0,0-0,1,1,2,0,0,0,0,0,-2,2
Fred VanVleet,PG,0,5,1-3,1-1,0-0,0,0,0,0,0,0,1,2,-6,3
Delon Wright,PG,0,20,1-2,0-0,4-4,0,1,1,2,2,0,1,2,+0,6
Lucas Nogueira,C,0,DNP-COACH'S DECISION
TEAM,,,,33-90,7-20,23-26,16,34,50,11,8,4,11,18,,96
 ,,,,36.7%,35.0%,88.5%

400899417,Wizards,Rockets,91,101
STARTERS,position,xf,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,+/-,PTS
Markieff Morris,PF,1,33,5-11,0-4,2-3,1,7,8,3,0,1,2,5,+10,12
Otto Porter Jr.,SF,1,33,4-12,0-5,0-0,0,3,3,1,1,1,0,3,-9,8
Marcin Gortat,C,1,40,6-10,0-0,1-2,4,10,14,3,1,0,4,2,-14,13
John Wall,PG,1,37,8-18,0-2,2-3,1,4,5,12,2,0,5,2,-7,18
Bradley Beal,SG,1,35,9-18,5-10,4-4,0,3,3,2,2,0,3,0,+0,27
BENCH,position,xf,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,+/-,PTS
Jason Smith,PF,0,9,2-3,0-0,0-0,0,2,2,0,0,0,1,2,+1,4
Kelly Oubre Jr.,SF,0,23,0-4,0-1,0-0,1,6,7,0,2,0,0,3,-12,0
Trey Burke,PG,0,11,1-3,0-1,0-0,0,0,0,2,0,0,1,2,-1,2
Marcus Thornton,SG,0,18,3-8,1-3,0-0,0,3,3,0,1,0,1,2,-8,7
Daniel Ochefu,PF,0,DNP-COACH'S DECISION
Andrew Nicholson,PF,0,DNP-COACH'S DECISION
Tomas Satoransky,SG,0,DNP-COACH'S DECISION
Sheldon Mac,SG,0,DNP-COACH'S DECISION
TEAM,,,,38-87,6-26,9-12,7,38,45,23,9,2,17,21,,91
 ,,,,43.7%,23.1%,75.0%
STARTERS,position,xf,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,+/-,PTS
Ryan Anderson,PF,1,32,3-7,2-5,0-0,1,3,4,2,1,1,1,3,-1,8
Montrezl Harrell,PF,1,33,6-11,0-0,2-3,3,6,9,1,0,2,2,1,+1,14
Trevor Ariza,SF,1,44,4-10,2-6,0-0,0,6,6,5,3,2,0,1,+8,10
Corey Brewer,SF,1,16,2-4,0-2,0-0,0,1,1,2,0,0,1,1,-1,4
James Harden,PG,1,42,6-24,2-11,9-10,1,9,10,10,3,0,6,1,+8,23
BENCH,position,xf,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,+/-,PTS
Sam Dekker,SF,0,17,0-2,0-2,0-0,1,5,6,0,1,2,0,1,+7,0
Nene Hilario,C,0,14,4-6,0-0,1-4,1,2,3,1,1,1,0,0,+9,9
Tyler Ennis,PG,0,6,1-4,0-1,0-0,0,0,0,1,0,0,0,0,+0,2
