400899389,Thunder,76ers,103,97
Dorian Finney-Smith,SF,0,18,1-1,0-0,3-4,0,1,1,2,0,1,0,2,-6,5
Dwight Powell,C,0,10,2-5,1-1,1-2,1,2,3,1,1,1,1,4,-2,6
Salah Mejri,C,0,21,7-9,0-0,2-4,8,9,17,0,1,1,1,2,+18,16
Devin Harris,PG,0,19,3-5,3-3,5-5,0,1,1,3,0,0,0,2,+22,14
Justin Anderson,SG,0,5,3-4,1-2,0-0,1,3,4,0,0,0,1,0,+1,7
Andrew Bogut,C,0,DNP-STRAINED RIGHT HAMSTRING
TEAM,,,,40-86,10-26,23-28,15,36,51,22,10,4,11,19,,113
 ,,,,46.5%,38.5%,82.1%

400899403,76ers,Heat,98,125
STARTERS,position,xf,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,+/-,PTS
Dario Saric,PF,1,28,4-12,2-3,0-0,3,3,6,2,0,0,3,4,-14,10
Robert Covington,SF,1,26,5-11,3-7,6-8,0,5,5,0,1,1,1,2,-19,19
Jahlil Okafor,C,1,22,3-11,0-0,0-0,2,5,7,2,0,1,5,2,-16,6
T.J. McConnell,PG,1,32,5-7,0-0,4-4,1,4,5,5,2,0,2,3,-19,14
Gerald Henderson,SG,1,11,1-3,0-1,0-0,0,0,0,2,0,0,1,1,-5,2
BENCH,position,xf,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,+/-,PTS
Richaun Holmes,PF,0,26,7-10,0-1,1-1,1,5,6,0,1,1,2,2,-11,15
Sergio Rodriguez,PG,0,18,5-10,0-0,0-0,1,0,1,2,0,0,0,1,-10,10
Timothe Luwawu-Cabarrot,SG,0,24,1-5,0-1,5-6,0,4,4,1,1,1,2,3,-9,7
Justin Anderson,SG,0,26,3-4,0-1,0-0,2,2,4,2,1,0,2,2,-6,6
Nik Stauskas,SG,0,26,3-12,1-3,2-3,0,2,2,0,1,0,1,2,-26,9
Tiago Splitter,C,0,DNP-COACH'S DECISION
TEAM,,,,37-85,6-17,18-22,10,30,40,16,7,4,19,22,,98
 ,,,,43.5%,35.3%,81.8%
STARTERS,position,xf,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,+/-,PTS
Luke Babbitt,SF,1,23,3-5,3-5,0-0,0,4,4,1,0,2,1,2,+8,9
Hassan Whiteside,C,1,22,6-9,0-0,3-4,3,8,11,3,1,4,3,1,+11,15
Goran Dragic,PG,1,23,6-13,1-3,2-3,0,2,2,2,3,0,2,4,+16,15
Dion Waiters,SG,1,24,7-12,0-1,1-2,0,4,4,2,0,0,4,0,+6,15
Rodney McGruder,SG,1,19,2-5,0-3,0-0,2,1,3,2,0,0,0,0,+4,4
BENCH,position,xf,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,+/-,PTS
James Johnson,PF,0,26,6-11,0-3,2-4,1,3,4,3,1,2,0,4,+15,14
Okaro White,PF,0,25,2-6,0-0,0-0,1,2,3,2,1,3,0,3,+20,4
Josh Richardson,SF,0,24,3-8,1-3,0-0,0,6,6,5,1,1,1,2,+21,7
Wayne Ellington,SG,0,25,6-9,6-9,0-0,1,2,3,0,0,0,0,1,+16,18
Tyler Johnson,SG,0,28,8-12,2-3,6-8,0,2,2,4,2,0,2,1,+18,24
Udonis Haslem,PF,0,DNP-COACH'S DECISION
Willie Reed,C,0,DNP-COACH'S DECISION
TEAM,,,,49-90,13-30,14-21,8,34,42,24,9,12,13,18,,125
 ,,,,54.4%,43.3%,66.7%

400899421,Timberwolves,76ers,91,93
STARTERS,position,xf,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,+/-,PTS
Andrew Wiggins,SF,1,37,2-15,0-3,4-4,0,4,4,3,1,0,4,2,-2,8
Gorgui Dieng,C,1,27,4-6,0-0,2-2,1,7,8,2,1,2,1,4,-9,10
Karl-Anthony Towns,C,1,37,9-22,1-6,4-4,6,10,16,5,0,2,3,2,-3,23
Ricky Rubio,PG,1,30,2-3,1-2,0-0,1,2,3,5,2,0,3,2,-2,5
Zach LaVine,PG,1,40,11-20,3-8,3-4,0,4,4,1,1,1,3,3,+7,28
BENCH,position,xf,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,+/-,PTS
