400899387,Raptors,Lakers,123,114
Metta World Peace,SF,0,DNP-COACH'S DECISION
Luol Deng,SF,0,DNP-COACH'S DECISION
Timofey Mozgov,C,0,DNP-COACH'S DECISION
Nick Young,SG,0,DNP-COACH'S DECISION
TEAM,,,,40-85,7-19,21-27,17,34,51,14,11,2,13,12,,108
 ,,,,47.1%,36.8%,77.8%

400899415,Rockets,Lakers,114,120
STARTERS,position,xf,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,+/-,PTS
Ryan Anderson,PF,1,34,6-15,2-7,0-0,1,6,7,1,2,0,0,1,-2,14
Trevor Ariza,SF,1,33,2-8,1-4,0-0,0,6,6,2,1,0,0,2,-3,5
Clint Capela,C,1,26,8-11,0-0,0-1,3,6,9,0,0,1,1,2,+8,16
James Harden,PG,1,37,9-19,1-7,15-16,3,4,7,17,1,0,7,5,+10,34
Eric Gordon,SG,1,34,7-15,2-8,3-4,0,5,5,0,1,0,1,1,-14,19
BENCH,position,xf,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,+/-,PTS
Sam Dekker,SF,0,14,2-3,0-1,0-0,0,1,1,0,1,0,0,2,-4,4
Corey Brewer,SF,0,15,2-4,0-1,0-2,0,0,0,2,0,0,0,3,-3,4
Nene Hilario,C,0,22,3-5,0-0,1-4,2,1,3,3,2,0,1,3,-14,7
Tyler Ennis,PG,0,12,0-1,0-0,0-0,0,0,0,4,2,0,4,3,-9,0
KJ McDaniels,SG,0,12,5-5,1-1,0-0,1,0,1,0,0,0,0,1,+1,11
Montrezl Harrell,PF,0,DNP-COACH'S DECISION
Kyle Wiltjer,F,0,DNP-COACH'S DECISION
Bobby Brown,PG,0,DNP-COACH'S DECISION
TEAM,,,,44-86,7-29,19-27,10,29,39,29,10,1,14,23,,114
 ,,,,51.2%,24.1%,70.4%
STARTERS,position,xf,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,+/-,PTS
Julius Randle,PF,1,29,9-11,0-1,0-1,0,7,7,6,0,1,2,4,-8,18
Luol Deng,SF,1,28,3-9,1-4,0-0,2,3,5,1,1,0,1,0,+1,7
Timofey Mozgov,C,1,22,6-10,0-0,0-0,4,4,8,2,0,0,2,2,+3,12
D'Angelo Russell,PG,1,29,7-16,4-10,2-3,0,1,1,3,1,0,3,2,-5,20
Nick Young,SG,1,27,3-12,2-9,0-0,0,3,3,1,0,1,0,5,-6,8
BENCH,position,xf,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,+/-,PTS
Tarik Black,PF,0,12,1-2,0-0,2-2,1,3,4,0,1,0,1,4,+1,4
Larry Nance Jr.,PF,0,23,2-5,0-1,1-2,3,2,5,2,1,1,0,1,+7,5
Brandon Ingram,SF,0,24,4-6,1-2,0-0,0,3,3,0,0,0,1,0,+10,9
Metta World Peace,SF,0,2,0-0,0-0,0-0,0,0,0,0,0,0,0,3,-1,0
Jordan Clarkson,PG,0,25,8-12,2-3,7-7,1,2,3,1,3,0,4,3,+6,25
Marcelo Huertas,PG,0,5,0-1,0-1,0-0,0,0,0,3,0,1,0,0,+5,0
Lou Williams,SG,0,14,2-5,2-4,6-7,0,0,0,2,3,0,1,0,+17,12
Thomas Robinson,PF,0,DNP-COACH'S DECISION
TEAM,,,,45-89,12-35,18-22,11,28,39,21,10,4,15,24,,120
 ,,,,50.6%,34.3%,81.8%

400899446,Lakers,Wizards,108,116
STARTERS,position,xf,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,+/-,PTS
Tarik Black,PF,1,26,5-6,0-0,3-5,2,9,11,1,1,0,3,4,+2,13
Luol Deng,SF,1,32,6-11,3-7,2-2,3,3,6,0,0,1,1,1,-11,17
Timofey Mozgov,C,1,17,0-1,0-0,0-0,0,1,1,1,0,2,3,3,-1,0
D'Angelo Russell,PG,1,31,5-15,4-10,3-6,1,6,7,11,1,1,7,3,-4,17
Nick Young,SG,1,24,3-10,1-8,0-0,0,1,1,0,0,0,0,3,+1,7
BENCH,position,xf,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,+/-,PTS
Larry Nance Jr.,PF,0,20,4-8,0-0,0-0,3,3,6,1,3,0,1,2,-1,8
Julius Randle,PF,0,6,1-4,0-0,0-0,1,1,2,0,0,0,1,1,-12,2
Brandon Ingram,SF,0,21,1-3,0-0,3-4,1,5,6,0,1,3,0,3,-1,5
