400899389,Thunder,76ers,103,97
Domantas Sabonis,C,0,13,2-5,1-1,0-0,0,1,1,0,0,0,0,0,+4,5
Enes Kanter,C,0,17,4-9,0-0,1-2,1,0,1,0,0,0,1,1,-12,9
Semaj Christon,PG,0,16,1-2,0-0,0-0,0,0,0,0,2,0,1,1,-5,2
Alex Abrines,SG,0,13,0-4,0-4,0-0,0,2,2,0,0,0,1,2,-6,0
Nick Collison,PF,0,DNP-COACH'S DECISION
Norris Cole,PG,0,DNP-COACH'S DECISION
TEAM,,,,39-84,12-31,11-12,7,35,42,19,10,5,24,20,,101
 ,,,,46.4%,38.7%,91.7%

400899410,Thunder,Bucks,94,98
STARTERS,position,xf,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,+/-,PTS
Steven Adams,C,1,34,9-11,0-0,2-2,3,5,8,2,1,3,0,3,+5,20
Domantas Sabonis,C,1,26,0-1,0-1,0-0,0,2,2,1,1,0,1,2,+11,0
Russell Westbrook,PG,1,36,9-28,2-10,10-11,0,7,7,6,3,0,5,3,+3,30
Victor Oladipo,SG,1,35,7-12,4-7,0-0,1,4,5,4,1,0,2,4,+5,18
Andre Roberson,SG,1,19,0-2,0-2,0-0,0,4,4,1,0,0,0,2,-1,0
BENCH,position,xf,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,+/-,PTS
Jerami Grant,SF,0,29,2-4,0-1,0-2,0,3,3,1,0,2,0,0,-5,4
Joffrey Lauvergne,C,0,14,1-2,0-0,1-2,1,2,3,1,0,0,1,0,-9,3
Enes Kanter,C,0,22,1-6,0-0,0-0,2,3,5,1,0,0,0,3,-13,2
Semaj Christon,PG,0,12,5-6,1-2,0-2,0,1,1,2,0,0,1,1,-7,11
Alex Abrines,SG,0,14,2-6,2-4,0-0,1,1,2,1,1,0,0,2,-9,6
Nick Collison,PF,0,DNP-COACH'S DECISION
Kyle Singler,SF,0,DNP-COACH'S DECISION
Anthony Morrow,SG,0,DNP-COACH'S DECISION
