400899399,Kings,Timberwolves,123,117
STARTERS,position,xf,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,+/-,PTS
Skal Labissiere,PF,1,20,3-6,0-0,0-0,1,5,6,0,0,0,2,2,-7,6
Willie Cauley-Stein,C,1,27,5-9,0-0,5-7,2,8,10,3,2,0,1,5,-1,15
Darren Collison,PG,1,26,2-7,0-0,3-4,0,0,0,7,1,0,4,1,-11,7
Ben McLemore,SG,1,18,3-4,0-0,1-2,2,1,3,0,0,0,4,5,-8,7
Buddy Hield,SG,1,34,9-15,4-6,0-0,0,4,4,1,1,0,1,3,-3,22
BENCH,position,xf,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,+/-,PTS
Anthony Tolliver,PF,0,28,4-10,0-3,0-1,0,4,4,3,0,3,1,3,+15,8
Georgios Papagiannis,C,0,20,2-3,0-0,0-0,1,5,6,0,0,1,1,3,+5,4
Ty Lawson,PG,0,25,5-8,0-1,11-14,0,2,2,11,1,0,1,3,+18,21
Langston Galloway,SG,0,15,6-7,3-4,2-2,1,2,3,0,0,0,0,0,+11,17
Arron Afflalo,SG,0,26,5-9,4-5,2-3,0,2,2,2,0,0,2,2,+11,16
Garrett Temple,SF,0,DNP-COACH'S DECISION
Kosta Koufos,C,0,DNP-COACH'S DECISION
Tyreke Evans,SG,0,DNP-COACH'S DECISION
TEAM,,,,44-78,11-19,24-33,7,33,40,27,5,4,17,27,,123
 ,,,,56.4%,57.9%,72.7%
STARTERS,position,xf,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,+/-,PTS
Andrew Wiggins,SF,1,39,13-20,4-7,2-6,1,2,3,3,0,1,1,1,+13,32
Gorgui Dieng,C,1,37,3-8,1-2,4-4,2,6,8,2,3,1,0,3,+7,11
Karl-Anthony Towns,C,1,40,8-17,1-5,9-10,3,8,11,2,1,0,5,4,-17,26
Ricky Rubio,PG,1,37,1-10,0-3,9-10,1,5,6,13,2,0,2,3,+12,11
Brandon Rush,SG,1,22,4-8,3-5,0-0,0,2,2,1,0,0,0,1,+4,11
BENCH,position,xf,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,+/-,PTS
Adreian Payne,PF,0,7,2-4,0-1,2-4,1,2,3,0,0,2,0,2,+6,6
Omri Casspi,SF,0,12,1-2,0-1,2-2,0,2,2,0,0,0,0,1,-8,4
Tyus Jones,PG,0,11,3-5,0-1,0-0,0,1,1,3,1,0,1,0,-12,6
Kris Dunn,PG,0,19,2-7,0-2,0-0,1,2,3,3,1,0,0,6,-20,4
Shabazz Muhammad,SG,0,16,2-6,0-0,2-2,1,1,2,0,0,0,1,2,-15,6
Nemanja Bjelica,PF,0,DNP-LEFT FOOT
Jordan Hill,C,0,DNP-COACH'S DECISION
Cole Aldrich,C,0,DNP-COACH'S DECISION
TEAM,,,,39-87,9-27,30-38,10,31,41,27,8,4,10,23,,117
 ,,,,44.8%,33.3%,78.9%

400899412,Kings,Suns,113,94
STARTERS,position,xf,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,+/-,PTS
Rudy Gay,SF,1,33,9-15,1-3,3-4,0,3,3,2,0,4,0,1,+26,22
Kosta Koufos,C,1,13,1-6,0-0,0-1,0,4,4,1,0,0,1,1,+12,2
DeMarcus Cousins,C,1,25,6-10,0-1,12-16,1,5,6,2,1,0,3,4,+13,24
Ty Lawson,PG,1,36,3-9,1-4,2-2,3,3,6,7,2,1,2,2,+2,9
Arron Afflalo,SG,1,26,2-7,2-2,2-2,0,3,3,0,1,0,0,3,+6,8
BENCH,position,xf,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,+/-,PTS
Anthony Tolliver,PF,0,15,3-6,0-3,0-0,2,3,5,2,0,0,0,1,-7,6
Garrett Temple,SF,0,18,6-8,0-1,0-0,1,1,2,3,0,0,2,2,+7,12
Matt Barnes,SF,0,28,6-9,2-5,0-0,1,6,7,3,0,0,1,4,+12,14
Omri Casspi,SF,0,9,2-2,0-0,0-0,1,2,3,0,1,0,2,0,+7,4
Willie Cauley-Stein,C,0,19,3-6,0-0,0-0,1,1,2,2,0,0,1,1,+0,6
Ben McLemore,SG,0,17,3-7,0-2,0-1,0,0,0,2,0,0,1,0,+21,6
Malachi Richardson,SG,0,2,0-1,0-0,0-0,0,0,0,0,0,0,0,1,-4,0
Darren Collison,PG,0,DNP-SUSPENDED BY LEAGUE
TEAM,,,,44-86,6-21,19-26,10,31,41,24,5,5,13,20,,113
 ,,,,51.2%,28.6%,73.1%
STARTERS,position,xf,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,+/-,PTS
